data,tasso_positivita,tasso_positivita_GaussianProcesses,tasso_positivita_MultilayerPerceptron,tasso_positivita_LinearRegression,tasso_positivita_SMOreg
2021-12-04,2.612662,,,,
2021-12-05,2.860554,,,,
2021-12-06,3.15128,,,,
2021-12-07,2.266607,,,,
2021-12-08,3.180284,,,,
2021-12-09,4.004437,,,,
2021-12-10,2.861562,,,,
2021-12-11,3.72374,,,,
2021-12-12,3.8291,,,,
2021-12-13,4.054399,,,,
2021-12-14,2.66263,,,,
2021-12-15,3.654839,,,,
2021-12-16,3.634928,,,,
2021-12-17,4.278797,,,,
2021-12-18,4.022129,,,,
2021-12-19,4.283772,,,,
2021-12-20,4.807812,,,,
2021-12-21,3.615362,,,,
2021-12-22,4.65711,,,,
2021-12-23,4.94703,,,,
2021-12-24,5.442069,,,,
2021-12-25,5.647011,,,,
2021-12-26,11.464073,,,,
2021-12-27,8.957229,,,,
2021-12-28,7.568835,,,,
2021-12-29,9.522755,,,,
2021-12-30,11.030363,,,,
2021-12-31,11.784318,,,,
2022-01-01,12.499204,,,,
2022-01-02,21.907455,,,,
2022-01-03,15.281561,,,,
2022-01-04,13.907734,,,,
2022-01-05,17.281986,,,,
2022-01-06,19.277789,,,,
2022-01-07,22.005315,,,,
2022-01-08,16.189257,,,,
2022-01-09,15.672457,,,,
2022-01-10,16.605501,,,,
2022-01-11,16.032698,,,,
2022-01-12,16.481559,,,,
2022-01-13,15.629723,,,,
2022-01-14,16.448955,,,,
2022-01-15,14.815368,,,,
2022-01-16,16.113881,,,,
2022-01-17,15.407964,,,,
2022-01-18,,16.26329118555196,16.335687737295554,17.08979130395658,16.287389351263855
2022-01-19,,16.771866105654983,17.327456868485168,17.42518328871505,16.845274919596285
2022-01-20,,16.77122825036483,17.28265374765371,17.316046580955057,16.297694341031086
2022-01-21,,17.04528719635748,20.23939251353839,17.91194789324331,16.9913317984995
2022-01-22,,16.122711481493194,14.265511401772777,16.323813881973564,15.699710387829635
2022-01-23,,17.18808731434692,16.87507194755922,17.722128004202535,16.883680801775125
2022-01-24,,17.079264445549803,15.265676252119388,17.246009383616407,16.507190589027058
2022-01-25,,16.662586641042846,15.821195934859993,17.995071608417522,16.905097705382452
2022-01-26,,17.202307360310943,16.568900754049356,18.25748740003859,17.55610503272105
2022-01-27,,17.587451847290783,16.006053787904975,18.667936049064185,17.252811233203616
2022-01-28,,17.61862783337523,17.40813352959902,19.117873438520913,17.85200690562553
2022-01-29,,17.014858090495103,13.811563549891648,17.54424137505713,16.83165393478026
2022-01-30,,17.98256752646188,16.27593706579134,19.03328140675414,17.932719308352123
2022-01-31,,18.146707202863773,14.78557968765124,18.716372143198452,17.823021456402053
2022-02-01,,13.924489437416772,13.314521207121198,14.982616859652742,17.86495242019231
2022-02-02,,14.482973703118319,14.371809608496537,15.198174116788266,18.59763096341115
2022-02-03,,15.048132858559514,13.864233523940154,15.985157538834397,18.49335259108821
2022-02-04,,14.970243878901957,16.12190362878226,16.3390665127183,19.02241692244552
2022-02-05,,14.511091211877607,15.963661904007939,14.758087509924763,18.219596413965682
2022-02-06,,15.44123890922279,13.94100882428959,16.33323339357725,19.262599015285172
2022-02-07,,15.733782483555354,14.583514705532776,16.12916079209972,19.372276683274745
2022-02-08,,12.963488195011944,14.347605328929795,12.95452367033102,19.100831658939708
2022-02-09,,13.532861547758136,15.29255253148927,13.133502808785323,19.907105366132836
2022-02-10,,14.183541548523328,14.519296393387442,14.197690557801923,19.967642206865296
2022-02-11,,14.05404277396242,16.76202867151598,14.481487585649479,20.445770836316612
2022-02-12,,13.658727008127903,15.168162114728936,12.870146046615528,19.819532911193953
2022-02-13,,14.575873149761357,14.387405556075556,14.523023729607884,20.82424480689497
2022-02-14,,14.929133328286067,14.331171834603124,14.394051908192486,21.117396490285262
2022-02-15,,12.820175861998347,13.472837925436483,11.584694868376491,20.59164558153846
2022-02-16,,13.398331338855737,14.503874542070049,11.735378114955108,21.465985339113846
2022-02-17,,14.093176350358181,14.0680568387407,13.013618761860297,21.6654959277472
2022-02-18,,13.939444429455461,16.094806600820903,13.24596990585935,22.108011656340405
2022-02-19,,13.572558535135443,14.794116101523917,11.588405471878676,21.627068265171193
2022-02-20,,14.489285866080147,14.151521983533764,13.316491752534485,22.609432230647574
2022-02-21,,14.873746410934304,14.0522502073862,13.238517481195037,23.05889313385689
2022-02-22,,13.06597923754071,13.558663344680966,10.663042655603043,22.32463616041912
2022-02-23,,13.652687960597298,14.61874796828077,10.791993357254238,23.263480237828063
2022-02-24,,14.37348941299479,14.073349841860358,12.24435659111259,23.582500885839643
2022-02-25,,14.208714646594922,16.31021777932934,12.438843077513923,24.00180822130213
2022-02-26,,13.854594929271775,14.25333509738714,10.723262630797928,23.642240980477872
2022-02-27,,14.77743444547564,14.107036661198004,12.527681366905053,24.615325588605955
2022-02-28,,15.180163356531846,13.727588264070093,12.485144625974776,25.20063005632319
2022-03-01,,14.99327362087262,15.616690783327865,11.52123180122119,25.576692162110685
2022-03-02,,15.588845281010995,16.5296718249924,11.633618897862762,26.578023313443477
2022-03-03,,16.32759233330854,16.247919206665415,13.235392954541329,27.00199765325133
2022-03-04,,16.15821762583349,18.419076751153,13.402013386625338,27.408302747099512
2022-03-05,,15.809885134748862,18.443143801036104,11.618839136596328,27.15185601832105
2022-03-06,,16.742318355482347,18.40218121457312,13.50312227057399,28.126577410820886
2022-03-07,,17.15766682956243,19.80753634569217,13.485895634304583,28.832441198258273
2022-03-08,,16.26811965738213,13.95763584393969,12.282861908305048,28.858383570113734
2022-03-09,,16.874133476911254,15.018469495574337,12.385413303304707,29.922408320168138
2022-03-10,,17.628521217730924,15.055104625733486,14.124762074691377,30.441579340014044
2022-03-11,,17.458914427936296,16.707348487146277,14.273632644310828,30.844424591183486
2022-03-12,,17.114413183980957,16.11995475140327,12.417016636520694,30.678216673467734
2022-03-13,,18.05954800897011,17.19352202403116,14.389076877769057,31.664876011106045
2022-03-14,,18.486262226211785,17.242358082201225,14.393193617270859,32.481049449520654
2022-03-15,,17.251773217693216,14.839258660669755,12.989268149393672,32.21842536514748
2022-03-16,,17.86861732780625,15.795898490704136,13.086762805471825,33.346053224875874
2022-03-17,,18.637212206582927,15.528710052373683,14.957830250435498,33.953349192212826
2022-03-18,,18.468999257175724,17.773070522444563,15.096176980655558,34.36073840724153
2022-03-19,,18.12693404642944,17.031052592515078,13.159542832081357,34.275011218069594
2022-03-20,,19.085933478362943,17.47469916142607,15.227599784846443,35.28242656878837
2022-03-21,,19.523040738293865,17.86493847741193,15.25033505872547,36.20155507954259
2022-03-22,,18.113982859096655,13.995850975773362,13.670242069356625,35.699016324407694
2022-03-23,,18.741758172425712,15.093171604516337,13.766207965090164,36.891796306614566
